	rank	word	count	frequency
273	173	life	59	0.0004757373929590866
274	173	these	59	0.0004757373929590866
275	173	since	59	0.0004757373929590866
276	173	work	59	0.0004757373929590866
277	174	attention	58	0.00046767404731571223
278	174	To	58	0.00046767404731571223
279	174	leave	58	0.00046767404731571223
280	174	going	58	0.00046767404731571223
281	174	each	58	0.00046767404731571223
282	174	cottage	58	0.00046767404731571223
283	174	brought	58	0.00046767404731571223
284	175	having	57	0.0004596107016723379
285	175	people	57	0.0004596107016723379
286	175	off	57	0.0004596107016723379
287	176	under	56	0.00045154735602896353
288	176	manner	56	0.00045154735602896353
289	176	side	56	0.00045154735602896353
290	176	eyes	56	0.00045154735602896353
291	176	continued	56	0.00045154735602896353
292	176	seen	56	0.00045154735602896353
293	176	short	56	0.00045154735602896353
294	177	general	55	0.0004434840103855892
295	177	half	55	0.0004434840103855892
296	177	given	55	0.0004434840103855892
297	177	suppose	55	0.0004434840103855892
298	177	find	55	0.0004434840103855892
299	177	friend	55	0.0004434840103855892
300	178	wished	54	0.00043542066474221483
301	178	rest	54	0.00043542066474221483
302	178	married	54	0.00043542066474221483
303	178	year	54	0.00043542066474221483
304	178	situation	54	0.00043542066474221483
305	178	How	54	0.00043542066474221483
306	178	end	54	0.00043542066474221483
307	179	Norland	53	0.0004273573190988405
308	179	longer	53	0.0004273573190988405
309	179	often	53	0.0004273573190988405
310	179	reason	53	0.0004273573190988405
311	180	returned	52	0.00041929397345546614
312	180	part	52	0.00041929397345546614
313	180	took	52	0.00041929397345546614
314	180	does	52	0.00041929397345546614
315	180	next	52	0.00041929397345546614
316	180	body	52	0.00041929397345546614
317	180	passed	52	0.00041929397345546614
318	181	voice	51	0.0004112306278120918
319	181	evening	51	0.0004112306278120918
320	182	years	50	0.00040316728216871744
321	182	already	50	0.00040316728216871744
322	182	ill	50	0.00040316728216871744
323	182	A	50	0.00040316728216871744
324	183	days	49	0.0003951039365253431
325	183	wife	49	0.0003951039365253431
326	183	possible	49	0.0003951039365253431
327	183	Well	49	0.0003951039365253431
328	183	certainly	49	0.0003951039365253431
329	183	farther	49	0.0003951039365253431
330	183	here	49	0.0003951039365253431
331	183	regard	49	0.0003951039365253431
332	183	party	49	0.0003951039365253431
333	183	went	49	0.0003951039365253431
334	184	sisters	48	0.00038704059088196874
335	184	those	48	0.00038704059088196874
336	184	whose	48	0.00038704059088196874
337	184	particular	48	0.00038704059088196874
338	184	Fanny	48	0.00038704059088196874
339	184	word	48	0.00038704059088196874
340	185	1	47	0.0003789772452385944
341	185	interest	47	0.0003789772452385944
342	185	thousand	47	0.0003789772452385944
343	185	matter	47	0.0003789772452385944
344	185	minutes	47	0.0003789772452385944
345	185	obliged	47	0.0003789772452385944
346	186	daughter	46	0.00037091389959522004
347	186	determined	46	0.00037091389959522004
348	186	business	46	0.00037091389959522004
349	186	able	46	0.00037091389959522004
350	186	doubt	46	0.00037091389959522004
351	186	else	46	0.00037091389959522004
352	187	old	45	0.0003628505539518457
353	187	power	45	0.0003628505539518457
354	187	When	45	0.0003628505539518457
355	187	Yes	45	0.0003628505539518457
356	187	return	45	0.0003628505539518457
357	187	Street	45	0.0003628505539518457
358	188	received	44	0.00035478720830847135
359	188	marriage	44	0.00035478720830847135
360	188	neither	44	0.00035478720830847135
361	188	account	44	0.00035478720830847135
362	188	name	44	0.00035478720830847135
363	188	glad	44	0.00035478720830847135
364	189	lady	43	0.000346723862665097
365	189	husband	43	0.000346723862665097
366	189	take	43	0.000346723862665097
367	189	poor	43	0.000346723862665097
368	189	whether	43	0.000346723862665097
369	189	perfectly	43	0.000346723862665097
370	189	entirely	43	0.000346723862665097
371	189	called	43	0.000346723862665097
372	189	directly	43	0.000346723862665097
373	189	hand	43	0.000346723862665097
374	189	put	43	0.000346723862665097
375	190	As	42	0.00033866051702172265
376	190	kindness	42	0.00033866051702172265
377	190	beyond	42	0.00033866051702172265
378	190	_that_	42	0.00033866051702172265
379	190	mean	42	0.00033866051702172265
380	190	want	42	0.00033866051702172265
381	190	began	42	0.00033866051702172265
382	190	We	42	0.00033866051702172265
383	191	added	41	0.0003305971713783483
384	191	pounds	41	0.0003305971713783483
385	191	child	41	0.0003305971713783483
386	191	means	41	0.0003305971713783483
387	191	carriage	41	0.0003305971713783483
388	191	set	41	0.0003305971713783483
389	191	seeing	41	0.0003305971713783483
390	192	equally	40	0.00032253382573497395
391	192	That	40	0.00032253382573497395
392	192	engaged	40	0.00032253382573497395
393	192	surprise	40	0.00032253382573497395
394	192	entered	40	0.00032253382573497395
395	192	full	40	0.00032253382573497395
396	192	back	40	0.00032253382573497395
397	192	talk	40	0.00032253382573497395
398	193	law	39	0.00031447048009159963
399	193	expected	39	0.00031447048009159963
400	193	conversation	39	0.00031447048009159963
401	193	through	39	0.00031447048009159963
402	193	saying	39	0.00031447048009159963
403	194	spent	38	0.00030640713444822525
404	194	fortune	38	0.00030640713444822525
405	194	greater	38	0.00030640713444822525
406	194	themselves	38	0.00030640713444822525
407	194	giving	38	0.00030640713444822525
408	194	real	38	0.00030640713444822525
409	194	yourself	38	0.00030640713444822525
410	194	hours	38	0.00030640713444822525
411	194	door	38	0.00030640713444822525
412	194	Steele	38	0.00030640713444822525
413	195	country	37	0.00029834378880485093
414	195	settled	37	0.00029834378880485093
415	195	coming	37	0.00029834378880485093
416	195	conduct	37	0.00029834378880485093
417	195	satisfaction	37	0.00029834378880485093
418	195	silent	37	0.00029834378880485093
419	195	wonder	37	0.00029834378880485093
420	195	object	37	0.00029834378880485093
421	195	head	37	0.00029834378880485093
422	195	sat	37	0.00029834378880485093
423	196	live	36	0.00029028044316147656
424	196	living	36	0.00029028044316147656
425	196	girl	36	0.00029028044316147656
426	196	Margaret	36	0.00029028044316147656
427	196	Dashwoods	36	0.00029028044316147656
428	196	dare	36	0.00029028044316147656
429	196	case	36	0.00029028044316147656
430	196	months	36	0.00029028044316147656
431	196	open	36	0.00029028044316147656
432	196	point	36	0.00029028044316147656
433	196	ask	36	0.00029028044316147656
434	196	pretty	36	0.00029028044316147656
435	196	works	36	0.00029028044316147656
436	197	son	35	0.00028221709751810223
437	197	common	35	0.00028221709751810223
438	197	arrival	35	0.00028221709751810223
439	197	appeared	35	0.00028221709751810223
440	197	impossible	35	0.00028221709751810223
441	197	spite	35	0.00028221709751810223
442	197	either	35	0.00028221709751810223
443	197	night	35	0.00028221709751810223
444	197	call	35	0.00028221709751810223
445	197	spoke	35	0.00028221709751810223
446	197	particularly	35	0.00028221709751810223
447	197	ready	35	0.00028221709751810223
448	197	hour	35	0.00028221709751810223
449	197	London	35	0.00028221709751810223
450	198	use	34	0.00027415375187472786
451	198	attachment	34	0.00027415375187472786
452	198	four	34	0.00027415375187472786
453	198	right	34	0.00027415375187472786
454	198	new	34	0.00027415375187472786
455	198	Your	34	0.00027415375187472786
456	198	gone	34	0.00027415375187472786
457	198	character	34	0.00027415375187472786
458	198	manners	34	0.00027415375187472786
459	198	ought	34	0.00027415375187472786
460	198	certain	34	0.00027415375187472786
461	198	sorry	34	0.00027415375187472786
462	198	week	34	0.00027415375187472786
463	198	Robert	34	0.00027415375187472786
464	199	Their	33	0.00026609040623135354
465	199	children	33	0.00026609040623135354
466	199	afterwards	33	0.00026609040623135354
467	199	sake	33	0.00026609040623135354
468	199	deal	33	0.00026609040623135354
469	199	answer	33	0.00026609040623135354
470	199	There	33	0.00026609040623135354
471	199	keep	33	0.00026609040623135354
472	199	ladies	33	0.00026609040623135354
473	199	alone	33	0.00026609040623135354
474	199	care	33	0.00026609040623135354
475	200	terms	32	0.00025802706058797916
476	200	nature	32	0.00025802706058797916
477	200	invitation	32	0.00025802706058797916
478	200	different	32	0.00025802706058797916
479	200	assure	32	0.00025802706058797916
480	200	state	32	0.00025802706058797916
481	200	talked	32	0.00025802706058797916
482	200	near	32	0.00025802706058797916
483	200	silence	32	0.00025802706058797916
484	200	ma	32	0.00025802706058797916
485	201	former	31	0.00024996371494460484
486	201	small	31	0.00024996371494460484
487	201	sense	31	0.00024996371494460484
488	201	future	31	0.00024996371494460484
489	201	fancy	31	0.00024996371494460484
490	201	five	31	0.00024996371494460484
491	201	whatever	31	0.00024996371494460484
492	201	convinced	31	0.00024996371494460484
493	201	course	31	0.00024996371494460484
494	201	get	31	0.00024996371494460484
495	201	At	31	0.00024996371494460484
496	201	pleased	31	0.00024996371494460484
497	201	instantly	31	0.00024996371494460484
498	201	confidence	31	0.00024996371494460484
499	202	happened	30	0.00024190036930123046
500	202	wishes	30	0.00024190036930123046
501	202	father	30	0.00024190036930123046
502	202	comfortable	30	0.00024190036930123046
503	202	stay	30	0.00024190036930123046
504	202	judgment	30	0.00024190036930123046
505	202	natural	30	0.00024190036930123046
506	202	wanted	30	0.00024190036930123046
507	202	easily	30	0.00024190036930123046
508	202	believed	30	0.00024190036930123046
509	202	change	30	0.00024190036930123046
510	202	park	30	0.00024190036930123046
511	202	table	30	0.00024190036930123046
512	202	Is	30	0.00024190036930123046
513	202	usual	30	0.00024190036930123046
514	202	Delaford	30	0.00024190036930123046
515	202	Steeles	30	0.00024190036930123046
516	203	remained	29	0.00023383702365785611
517	203	notice	29	0.00023383702365785611
518	203	opportunity	29	0.00023383702365785611
519	203	money	29	0.00023383702365785611
520	203	marry	29	0.00023383702365785611
521	203	doing	29	0.00023383702365785611
522	203	taken	29	0.00023383702365785611
523	203	company	29	0.00023383702365785611
524	203	For	29	0.00023383702365785611
525	203	circumstances	29	0.00023383702365785611
526	203	kept	29	0.00023383702365785611
527	203	necessary	29	0.00023383702365785611
528	203	anxious	29	0.00023383702365785611
529	203	self	29	0.00023383702365785611
530	203	walked	29	0.00023383702365785611
531	203	Lord	29	0.00023383702365785611
532	204	gentleman	28	0.00022577367801448177
