	rank	word	count	frequency
210	155	place	80	0.0006064373322821753
211	155	whole	80	0.0006064373322821753
212	156	seen	79	0.0005988568656286481
213	156	take	79	0.0005988568656286481
214	156	ill	79	0.0005988568656286481
215	156	down	79	0.0005988568656286481
216	157	morning	78	0.0005912763989751209
217	158	just	77	0.0005836959323215937
218	158	sisters	77	0.0005836959323215937
219	158	brother	77	0.0005836959323215937
220	159	still	76	0.0005761154656680665
221	159	looked	76	0.0005761154656680665
222	160	therefore	75	0.0005685349990145394
223	161	world	74	0.0005609545323610122
224	161	same	74	0.0005609545323610122
225	161	something	74	0.0005609545323610122
226	161	What	74	0.0005609545323610122
227	161	evening	74	0.0005609545323610122
228	162	few	73	0.000553374065707485
229	162	Netherfield	73	0.000553374065707485
230	163	This	72	0.0005457935990539577
231	163	least	72	0.0005457935990539577
232	163	added	72	0.0005457935990539577
233	163	our	72	0.0005457935990539577
234	163	Kitty	72	0.0005457935990539577
235	164	kind	71	0.0005382131324004305
236	164	present	71	0.0005382131324004305
237	164	told	71	0.0005382131324004305
238	164	both	71	0.0005382131324004305
239	164	half	71	0.0005382131324004305
240	164	moment	71	0.0005382131324004305
241	164	Lucas	71	0.0005382131324004305
242	164	hear	71	0.0005382131324004305
243	164	happiness	71	0.0005382131324004305
244	165	these	70	0.0005306326657469034
245	165	found	70	0.0005306326657469034
246	165	perhaps	70	0.0005306326657469034
247	165	certainly	70	0.0005306326657469034
248	165	went	70	0.0005306326657469034
249	165	next	70	0.0005306326657469034
250	165	uncle	70	0.0005306326657469034
251	166	There	69	0.0005230521990933762
252	166	character	69	0.0005230521990933762
253	166	How	69	0.0005230521990933762
254	166	speak	69	0.0005230521990933762
255	166	towards	69	0.0005230521990933762
256	166	attention	69	0.0005230521990933762
257	167	while	67	0.0005078912657863218
258	167	seemed	67	0.0005078912657863218
259	167	town	67	0.0005078912657863218
260	167	opinion	67	0.0005078912657863218
261	167	home	67	0.0005078912657863218
262	167	marriage	67	0.0005078912657863218
263	168	almost	66	0.0005003107991327946
264	168	work	66	0.0005003107991327946
265	168	yet	66	0.0005003107991327946
266	168	left	66	0.0005003107991327946
267	168	Colonel	66	0.0005003107991327946
268	168	nor	66	0.0005003107991327946
269	168	received	66	0.0005003107991327946
270	169	part	65	0.0004927303324792675
271	169	woman	65	0.0004927303324792675
272	169	each	65	0.0004927303324792675
273	169	answer	65	0.0004927303324792675
274	169	tell	65	0.0004927303324792675
275	169	together	65	0.0004927303324792675
276	170	between	64	0.00048514986582574025
277	170	either	64	0.00048514986582574025
278	170	leave	64	0.00048514986582574025
279	171	because	63	0.00047756939917221303
280	172	rather	62	0.0004699889325186859
281	172	here	62	0.0004699889325186859
282	172	off	62	0.0004699889325186859
283	172	means	62	0.0004699889325186859
284	172	three	62	0.0004699889325186859
285	172	conversation	62	0.0004699889325186859
286	172	acquaintance	62	0.0004699889325186859
287	172	gone	62	0.0004699889325186859
288	173	affection	61	0.00046240846586515866
289	173	others	61	0.00046240846586515866
290	173	To	61	0.00046240846586515866
291	173	given	61	0.00046240846586515866
292	173	once	61	0.00046240846586515866
293	173	upon	61	0.00046240846586515866
294	173	immediately	61	0.00046240846586515866
295	173	passed	61	0.00046240846586515866
296	174	party	60	0.00045482799921163145
297	174	possible	60	0.00045482799921163145
298	174	find	60	0.00045482799921163145
299	174	whose	60	0.00045482799921163145
300	174	married	60	0.00045482799921163145
301	175	those	59	0.0004472475325581043
302	175	life	59	0.0004472475325581043
303	175	certain	59	0.0004472475325581043
304	175	As	59	0.0004472475325581043
305	175	look	59	0.0004472475325581043
306	175	CHAPTER	59	0.0004472475325581043
307	175	began	59	0.0004472475325581043
308	175	seeing	59	0.0004472475325581043
309	175	coming	59	0.0004472475325581043
310	176	whether	58	0.0004396670659045771
311	176	mind	58	0.0004396670659045771
312	176	far	58	0.0004396670659045771
313	176	We	58	0.0004396670659045771
314	176	Yes	58	0.0004396670659045771
315	177	side	57	0.0004320865992510499
316	177	knew	57	0.0004320865992510499
317	177	known	57	0.0004320865992510499
318	177	going	57	0.0004320865992510499
319	177	Meryton	57	0.0004320865992510499
320	178	London	56	0.0004245061325975227
321	179	_	55	0.0004169256659439955
322	179	took	55	0.0004169256659439955
323	179	A	55	0.0004169256659439955
324	179	Pemberley	55	0.0004169256659439955
325	179	friends	55	0.0004169256659439955
326	179	behaviour	55	0.0004169256659439955
327	180	visit	54	0.00040934519929046833
328	180	another	54	0.00040934519929046833
329	180	No	54	0.00040934519929046833
330	180	since	54	0.00040934519929046833
331	180	return	54	0.00040934519929046833
332	180	person	54	0.00040934519929046833
333	180	gave	54	0.00040934519929046833
334	180	everything	54	0.00040934519929046833
335	180	able	54	0.00040934519929046833
336	181	course	53	0.0004017647326369411
337	181	eyes	53	0.0004017647326369411
338	181	lady	53	0.0004017647326369411
339	181	word	53	0.0004017647326369411
340	181	against	53	0.0004017647326369411
341	181	get	53	0.0004017647326369411
342	181	reason	53	0.0004017647326369411
343	182	general	52	0.00039418426598341396
344	182	perfectly	52	0.00039418426598341396
345	182	husband	52	0.00039418426598341396
346	182	continued	52	0.00039418426598341396
347	183	idea	51	0.00038660379932988674
348	183	Sir	51	0.00038660379932988674
349	183	walk	51	0.00038660379932988674
350	184	hardly	50	0.00037902333267635953
351	184	wife	50	0.00037902333267635953
352	184	cousin	50	0.00037902333267635953
353	184	daughters	50	0.00037902333267635953
354	184	people	50	0.00037902333267635953
355	185	suppose	49	0.00037144286602283237
356	185	agreeable	49	0.00037144286602283237
357	185	regard	49	0.00037144286602283237
358	185	let	49	0.00037144286602283237
359	185	yourself	49	0.00037144286602283237
360	185	Rosings	49	0.00037144286602283237
361	186	1	48	0.00036386239936930516
362	186	want	48	0.00036386239936930516
363	186	point	48	0.00036386239936930516
364	186	business	48	0.00036386239936930516
365	186	sense	48	0.00036386239936930516
366	186	manners	48	0.00036386239936930516
367	186	settled	48	0.00036386239936930516
368	186	object	48	0.00036386239936930516
369	187	country	47	0.000356281932715778
370	187	pride	47	0.000356281932715778
371	187	read	47	0.000356281932715778
372	187	At	47	0.000356281932715778
373	188	best	46	0.0003487014660622508
374	188	heart	46	0.0003487014660622508
375	188	marry	46	0.0003487014660622508
376	188	called	46	0.0003487014660622508
377	188	short	46	0.0003487014660622508
